"","State_Code_Dest","County_Code_Dest","State_Code_Origin","County_Code_Origin","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI","area"
"1","41","005","96","000","OR","Clackamas Count Tot Mig-US & For",11355,20735,532120,"oregon"
"2","41","005","97","000","OR","Clackamas Count Tot Mig-US",11276,20600,529213,"oregon"
"3","41","005","97","001","OR","Clackamas Count Tot Mig-Same St",7485,13503,321305,"oregon"
"4","41","005","97","003","OR","Clackamas Count Tot Mig-Diff St",3791,7097,207907,"oregon"
"5","41","005","41","051","OR","Multnomah County",3938,7186,170196,"pdx"
"6","41","005","41","067","OR","Washington County",1644,2868,79171,"pdx"
"7","41","005","41","047","OR","Marion County",531,1078,20451,"oregon"
"8","41","005","53","011","WA","Clark County",419,765,19308,"pdx"
"9","41","005","41","039","OR","Lane County",227,347,8117,"oregon"
"10","41","005","41","017","OR","Deschutes County",171,316,7046,"oregon"
"11","41","005","41","071","OR","Yamhill County",150,273,7210,"oregon"
"12","41","005","53","033","WA","King County",148,249,10768,"puget_sound"
"13","41","005","06","037","CA","Los Angeles County",144,277,7049,"LA"
"14","41","005","04","013","AZ","Maricopa County",125,259,7446,"AZ"
"15","41","005","41","003","OR","Benton County",106,135,3443,"oregon"
"16","41","005","41","029","OR","Jackson County",101,161,3436,"oregon"
"17","41","005","06","059","CA","Orange County",90,189,7797,"LA"
"18","41","005","41","053","OR","Polk County",84,176,3253,"oregon"
"19","41","005","06","073","CA","San Diego County",83,132,4315,"CA"
"20","41","005","32","003","NV","Clark County",78,140,3342,"NV"
"21","41","005","41","043","OR","Linn County",60,108,1780,"oregon"
"22","41","005","06","071","CA","San Bernardino County",58,121,2739,"LA"
"23","41","005","53","053","WA","Pierce County",57,120,2995,"puget_sound"
"24","41","005","53","063","WA","Spokane County",57,90,2144,"WA"
"25","41","005","41","009","OR","Columbia County",51,96,2111,"oregon"
"26","41","005","41","007","OR","Clatsop County",48,87,1334,"oregon"
"27","41","005","06","067","CA","Sacramento County",47,84,1930,"CA"
"28","41","005","06","085","CA","Santa Clara County",47,93,5116,"bay_area"
"29","41","005","41","041","OR","Lincoln County",45,74,1388,"oregon"
"30","41","005","41","019","OR","Douglas County",44,71,1737,"oregon"
"31","41","005","41","057","OR","Tillamook County",42,78,1816,"oregon"
"32","41","005","15","003","HI","Honolulu County",41,68,1699,"HI"
"33","41","005","16","001","ID","Ada County",41,82,1856,"ID"
"34","41","005","41","059","OR","Umatilla County",37,64,1041,"oregon"
"35","41","005","06","065","CA","Riverside County",36,75,2100,"LA"
"36","41","005","17","031","IL","Cook County",35,66,3689,"IL"
"37","41","005","53","061","WA","Snohomish County",33,63,1866,"puget_sound"
"38","41","005","32","031","NV","Washoe County",28,49,1242,"NV"
"39","41","005","41","011","OR","Coos County",27,57,1090,"oregon"
"40","41","005","06","013","CA","Contra Costa County",25,53,1797,"bay_area"
"41","41","005","06","111","CA","Ventura County",25,46,1322,"LA"
