"","y2_statefips","y2_countyfips","y1_statefips","y1_countyfips","y1_state","y1_countyname","n1","n2","agi","area"
"1","41","005","41","051","OR","Multnomah County",3581,6462,217560,"pdx"
"2","41","005","41","067","OR","Washington County",1446,2650,97932,"pdx"
"3","41","005","41","047","OR","Marion County",498,1032,23856,"oregon"
"4","41","005","53","011","WA","Clark County",430,821,21019,"pdx"
"5","41","005","06","037","CA","Los Angeles County",175,318,13366,"LA"
"6","41","005","41","039","OR","Lane County",159,251,5781,"oregon"
"7","41","005","41","071","OR","Yamhill County",135,237,7423,"oregon"
"8","41","005","53","033","WA","King County",126,215,13684,"puget_sound"
"9","41","005","41","017","OR","Deschutes County",100,159,6148,"oregon"
"10","41","005","06","073","CA","San Diego County",95,171,5319,"CA"
"11","41","005","04","013","AZ","Maricopa County",92,176,6038,"AZ"
"12","41","005","41","003","OR","Benton County",89,123,3999,"oregon"
"13","41","005","06","059","CA","Orange County",85,173,6421,"LA"
"14","41","005","41","009","OR","Columbia County",63,100,2171,"oregon"
"15","41","005","41","029","OR","Jackson County",62,106,4542,"oregon"
"16","41","005","53","053","WA","Pierce County",58,120,3523,"puget_sound"
"17","41","005","41","053","OR","Polk County",56,95,2759,"oregon"
"18","41","005","06","065","CA","Riverside County",55,113,3977,"LA"
"19","41","005","41","041","OR","Lincoln County",51,82,1810,"oregon"
"20","41","005","06","085","CA","Santa Clara County",48,79,7361,"bay_area"
"21","41","005","41","043","OR","Linn County",48,89,2516,"oregon"
"22","41","005","32","003","NV","Clark County",45,87,2173,"NV"
"23","41","005","53","061","WA","Snohomish County",42,75,1685,"puget_sound"
"24","41","005","48","453","TX","Travis County",41,80,1829,"TX"
"25","41","005","06","001","CA","Alameda County",40,62,2164,"bay_area"
"26","41","005","41","019","OR","Douglas County",40,75,2319,"oregon"
"27","41","005","15","003","HI","Honolulu County",39,76,2176,"HI"
"28","41","005","16","001","ID","Ada County",36,61,1752,"ID"
"29","41","005","41","057","OR","Tillamook County",36,57,1971,"oregon"
"30","41","005","41","007","OR","Clatsop County",35,58,1943,"oregon"
"31","41","005","53","015","WA","Cowlitz County",34,72,1633,"WA"
"32","41","005","06","067","CA","Sacramento County",33,67,1805,"CA"
"33","41","005","06","071","CA","San Bernardino County",33,64,1566,"LA"
"34","41","005","06","013","CA","Contra Costa County",31,55,2000,"bay_area"
"35","41","005","06","075","CA","San Francisco County",29,52,2454,"bay_area"
"36","41","005","53","063","WA","Spokane County",28,47,1280,"WA"
"37","41","005","06","081","CA","San Mateo County",26,36,2054,"bay_area"
"38","41","005","49","035","UT","Salt Lake County",26,59,1574,"UT"
"39","41","005","41","033","OR","Josephine County",25,41,727,"oregon"
"40","41","005","41","035","OR","Klamath County",25,50,956,"oregon"
