"","y2_statefips","y2_countyfips","y1_statefips","y1_countyfips","y1_state","y1_countyname","n1","n2","agi","area"
"1",41,5,41,51,"OR","Multnomah County",5529,10215,352085,"pdx"
"2",41,5,41,67,"OR","Washington County",2246,4079,195470,"pdx"
"3",41,5,41,47,"OR","Marion County",598,1167,35079,"oregon"
"4",41,5,53,11,"WA","Clark County",556,1057,31433,"WA"
"5",41,5,6,37,"CA","Los Angeles County",258,513,25597,"LA"
"6",41,5,41,39,"OR","Lane County",229,346,13835,"oregon"
"7",41,5,41,71,"OR","Yamhill County",205,357,12186,"oregon"
"8",41,5,53,33,"WA","King County",175,299,15501,"puget_sound"
"9",41,5,41,17,"OR","Deschutes County",154,267,8515,"oregon"
"10",41,5,4,13,"AZ","Maricopa County",144,277,12343,"AZ"
"11",41,5,6,73,"CA","San Diego County",142,288,10617,"CA"
"12",41,5,41,29,"OR","Jackson County",121,224,9631,"oregon"
"13",41,5,41,3,"OR","Benton County",117,151,5059,"oregon"
"14",41,5,6,85,"CA","Santa Clara County",114,250,20791,"bay_area"
"15",41,5,6,59,"CA","Orange County",105,197,8174,"LA"
"16",41,5,32,3,"NV","Clark County",92,196,4991,"NV"
"17",41,5,53,53,"WA","Pierce County",75,153,5567,"puget_sound"
"18",41,5,6,1,"CA","Alameda County",73,161,8222,"bay_area"
"19",41,5,41,43,"OR","Linn County",73,102,2933,"oregon"
"20",41,5,41,53,"OR","Polk County",73,121,3777,"oregon"
"21",41,5,41,41,"OR","Lincoln County",56,82,2417,"oregon"
"22",41,5,6,65,"CA","Riverside County",55,100,2709,"LA"
"23",41,5,6,81,"CA","San Mateo County",54,119,9264,"bay_area"
"24",41,5,48,453,"TX","Travis County",52,97,4020,"TX"
"25",41,5,41,9,"OR","Columbia County",51,77,4835,"oregon"
"26",41,5,49,35,"UT","Salt Lake County",51,100,3478,"UT"
"27",41,5,6,71,"CA","San Bernardino County",50,100,2848,"LA"
"28",41,5,6,75,"CA","San Francisco County",49,97,7004,"bay_area"
"29",41,5,15,3,"HI","Honolulu County",49,110,3159,"HI"
"30",41,5,6,13,"CA","Contra Costa County",47,98,7134,"bay_area"
"31",41,5,6,67,"CA","Sacramento County",47,86,4267,"CA"
"32",41,5,17,31,"IL","Cook County",45,71,4436,"IL"
"33",41,5,41,7,"OR","Clatsop County",45,82,2607,"oregon"
"34",41,5,53,61,"WA","Snohomish County",45,76,2230,"puget_sound"
"35",41,5,53,63,"WA","Spokane County",45,88,2652,"WA"
