"","origin","year","n"
"279","NV","0809",565
"280","HI","0809",433
"281","FL","0809",443
"282","UT","0809",386
"283","MA","0809",294
"284","ID","0809",463
"285","MN","0809",229
"286","NM","0809",175
"287","AK","0809",276
"288","PA","0809",220
"289","NC","0809",170
"290","MI","0809",285
"291","OH","0809",222
"292","GA","0809",151
"293","MT","0809",285
"294","WI","0809",183
"295","VA","0809",193
"296","TN","0809",83
"297","DC","0809",94
"298","MD","0809",161
"299","MO","0809",143
"300","CT","0809",71
"301","NE","0809",57
"302","IN","0809",115
"303","OK","0809",76
"304","VT","0809",39
