"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","41","005","41","051","OR","Multnomah County",3604,6030,138555,"pdx","pdx"
"2","41","005","41","067","OR","Washington County",1677,2792,76591,"pdx","pdx"
"3","41","005","53","011","WA","Clark County",531,1035,30092,"pdx","pdx"
"4","41","005","41","047","OR","Marion County",527,1095,20170,"pdx","pdx"
"5","41","005","41","017","OR","Deschutes County",166,331,9213,"pdx","pdx"
"6","41","005","53","033","WA","King County",159,243,7342,"pdx","puget_sound_area"
"7","41","005","41","039","OR","Lane County",149,244,4740,"pdx","pdx"
"8","41","005","41","071","OR","Yamhill County",117,214,4818,"pdx","pdx"
"9","41","005","04","013","AZ","Maricopa County",110,210,5928,"pdx","pdx"
"10","41","005","06","073","CA","San Diego County",90,151,3225,"pdx","pdx"
"11","41","005","06","037","CA","Los Angeles County",87,152,4714,"pdx","pdx"
"12","41","005","41","003","OR","Benton County",75,110,2151,"pdx","pdx"
"13","41","005","41","009","OR","Columbia County",71,138,3103,"pdx","pdx"
"14","41","005","41","053","OR","Polk County",69,111,2609,"pdx","pdx"
"15","41","005","53","053","WA","Pierce County",65,131,2703,"pdx","puget_sound_area"
"16","41","005","32","003","NV","Clark County",56,99,2125,"pdx","pdx"
"17","41","005","41","029","OR","Jackson County",50,93,2238,"pdx","pdx"
"18","41","005","53","061","WA","Snohomish County",48,93,2373,"pdx","puget_sound_area"
"19","41","005","41","041","OR","Lincoln County",47,80,2854,"pdx","pdx"
"20","41","005","41","043","OR","Linn County",46,75,2029,"pdx","pdx"
"21","41","005","06","085","CA","Santa Clara County",41,75,3848,"pdx","bay_area"
"22","41","005","06","059","CA","Orange County",40,93,2737,"pdx","pdx"
"23","41","005","41","007","OR","Clatsop County",40,80,1944,"pdx","pdx"
"24","41","005","06","065","CA","Riverside County",36,72,2677,"pdx","pdx"
"25","41","005","15","003","HI","Honolulu County",36,75,2032,"pdx","pdx"
"26","41","005","16","001","ID","Ada County",32,67,1156,"pdx","pdx"
"27","41","005","49","035","UT","Salt Lake County",31,54,1924,"pdx","pdx"
"28","41","005","53","015","WA","Cowlitz County",31,59,1329,"pdx","pdx"
"29","41","005","53","063","WA","Spokane County",31,70,1407,"pdx","pdx"
