"","county","total_pop","job","n_county","prop_county","job_class","job_type","n_county_type","prop_county_type","n_county_class","prop_county_class","year"
"242","Solano ",204873," Other personal care and service workers except personal appearance, baggage porters, concierges, and child care workers",7596,0.0370766279597604,"blue_collar","service",62543,0.305276927657622,110762,0.540637370468534,2016
"243","Sonoma ",254696," Other personal care and service workers except personal appearance, baggage porters, concierges, and child care workers",9287,0.0364630775512768,"blue_collar","service",80735,0.316985739862424,127014,0.498688632722932,2016
"244","Alameda ",848374," Cashiers",18268,0.0215329559840353,"blue_collar","service",223920,0.263940196187059,354260,0.417575267511734,2016
"245","Contra Costa ",549609," Cashiers",11346,0.0206437667505445,"blue_collar","service",164637,0.299552954918861,256046,0.465869372590332,2016
"246","Marin ",131149," Cashiers",1199,0.00914227329220962,"blue_collar","service",32633,0.248823856834593,47324,0.360841485638472,2016
"247","Napa ",73805," Cashiers",1299,0.017600433574961,"blue_collar","service",26286,0.356154732064223,39799,0.539245308583429,2016
"248","San Francisco ",511365," Cashiers",6831,0.013358364377695,"blue_collar","service",134195,0.26242507797757,178604,0.349269113060143,2016
"249","San Mateo ",414293," Cashiers",6417,0.0154890379514015,"blue_collar","service",114565,0.276531343759127,175017,0.422447398338857,2016
"250","Santa Clara ",979335," Cashiers",19626,0.0200401292713933,"blue_collar","service",242548,0.247666018267498,378838,0.386831880817085,2016
"251","Solano ",204873," Cashiers",4502,0.0219745891357085,"blue_collar","service",62543,0.305276927657622,110762,0.540637370468534,2016
"252","Sonoma ",254696," Cashiers",6213,0.0243937871030562,"blue_collar","service",80735,0.316985739862424,127014,0.498688632722932,2016
"253","Alameda ",848374," Retail sales workers except cashiers",16788,0.0197884423615057,"blue_collar","service",223920,0.263940196187059,354260,0.417575267511734,2016
"254","Contra Costa ",549609," Retail sales workers except cashiers",12373,0.0225123678833498,"blue_collar","service",164637,0.299552954918861,256046,0.465869372590332,2016
"255","Marin ",131149," Retail sales workers except cashiers",2690,0.0205110218148823,"blue_collar","service",32633,0.248823856834593,47324,0.360841485638472,2016
"256","Napa ",73805," Retail sales workers except cashiers",2064,0.027965584987467,"blue_collar","service",26286,0.356154732064223,39799,0.539245308583429,2016
"257","San Francisco ",511365," Retail sales workers except cashiers",7222,0.0141229845609301,"blue_collar","service",134195,0.26242507797757,178604,0.349269113060143,2016
"258","San Mateo ",414293," Retail sales workers except cashiers",9073,0.0218999596903641,"blue_collar","service",114565,0.276531343759127,175017,0.422447398338857,2016
