"","origin","destinations","tax_year","n","year","total","prop"
"94","puget_sound_area","puget_sound_area","1415",36966,"2014",68980,0.535894462162946
"95","bay_area","CA","1415",24986,"2014",132713,0.188270930504171
"96","bay_area","LA","1415",10538,"2014",132713,0.0794044291064176
"97","puget_sound_area","WA","1415",7106,"2014",68980,0.103015366772978
"98","bay_area","TX","1415",3391,"2014",132713,0.0255513777851454
"99","bay_area","puget_sound_area","1415",2513,"2014",132713,0.0189355978690859
"100","puget_sound_area","LA","1415",3064,"2014",68980,0.0444186720788634
"101","bay_area","NY","1415",2788,"2014",132713,0.021007738503387
"102","bay_area","NV","1415",2485,"2014",132713,0.0187246162772298
"103","bay_area","pdx","1415",1613,"2014",132713,0.0121540467022824
"104","puget_sound_area","bay_area","1415",2156,"2014",68980,0.0312554363583647
"105","puget_sound_area","pdx","1415",1997,"2014",68980,0.0289504204117135
"106","puget_sound_area","AZ","1415",1812,"2014",68980,0.0262684836184401
"107","puget_sound_area","TX","1415",2058,"2014",68980,0.0298347347057118
"108","bay_area","AZ","1415",1629,"2014",132713,0.0122746076119144
"109","puget_sound_area","CA","1415",1831,"2014",68980,0.0265439257755871
"110","bay_area","OR","1415",756,"2014",132713,0.00569650298011498
"111","bay_area","CO","1415",873,"2014",132713,0.00657810463179945
"112","puget_sound_area","OR","1415",868,"2014",68980,0.0125833574949261
"113","bay_area","IL","1415",968,"2014",132713,0.00729393503273982
"114","bay_area","MA","1415",796,"2014",132713,0.00599790525419514
"115","bay_area","FL","1415",804,"2014",132713,0.00605818570901117
"116","puget_sound_area","HI","1415",879,"2014",68980,0.0127428240069585
"117","puget_sound_area","FL","1415",789,"2014",68980,0.0114380979994201
"118","puget_sound_area","CO","1415",852,"2014",68980,0.012351406204697
"119","puget_sound_area","NY","1415",757,"2014",68980,0.010974195418962
"120","puget_sound_area","NV","1415",762,"2014",68980,0.0110466801971586
"121","bay_area","HI","1415",794,"2014",132713,0.00598283514049113
"122","puget_sound_area","ID","1415",408,"2014",68980,0.00591475790084082
"123","puget_sound_area","UT","1415",402,"2014",68980,0.00582777616700493
"124","bay_area","NC","1415",279,"2014",132713,0.0021022808617091
"125","puget_sound_area","NC","1415",319,"2014",68980,0.00462452884894172
"126","bay_area","GA","1415",359,"2014",132713,0.00270508540986942
"127","bay_area","UT","1415",377,"2014",132713,0.00284071643320549
"128","puget_sound_area","IL","1415",453,"2014",68980,0.00656712090461003
"129","puget_sound_area","GA","1415",329,"2014",68980,0.00476949840533488
"130","puget_sound_area","VA","1415",287,"2014",68980,0.00416062626848362
"131","bay_area","ID","1415",150,"2014",132713,0.00113025852780059
"132","bay_area","PA","1415",334,"2014",132713,0.00251670898856932
"133","bay_area","DC","1415",363,"2014",132713,0.00273522563727743
"134","puget_sound_area","AK","1415",380,"2014",68980,0.00550884314293998
"135","puget_sound_area","MA","1415",261,"2014",68980,0.00378370542186141
"136","bay_area","VA","1415",281,"2014",132713,0.00211735097541311
"137","bay_area","MD","1415",245,"2014",132713,0.00184608892874097
"138","puget_sound_area","MT","1415",196,"2014",68980,0.00284140330530589
"139","bay_area","MI","1415",196,"2014",132713,0.00147687114299277
"140","puget_sound_area","MD","1415",141,"2014",68980,0.00204407074514352
"141","bay_area","NJ","1415",284,"2014",132713,0.00213995614596912
"142","bay_area","MN","1415",169,"2014",132713,0.00127342460798867
"143","bay_area","OH","1415",132,"2014",132713,0.000994627504464521
"144","puget_sound_area","MN","1415",177,"2014",68980,0.00256596114815889
"145","puget_sound_area","TN","1415",110,"2014",68980,0.00159466512032473
"146","bay_area","WA","1415",49,"2014",132713,0.000369217785748193
"147","puget_sound_area","MI","1415",130,"2014",68980,0.00188460423311105
"148","puget_sound_area","OK","1415",126,"2014",68980,0.00182661641055378
"149","puget_sound_area","PA","1415",105,"2014",68980,0.00152218034212815
"150","puget_sound_area","MO","1415",149,"2014",68980,0.00216004639025805
"151","puget_sound_area","SC","1415",86,"2014",68980,0.00124673818498115
"152","bay_area","CT","1415",115,"2014",132713,0.000866531537980454
"153","puget_sound_area","NJ","1415",80,"2014",68980,0.00115975645114526
"154","bay_area","TN","1415",115,"2014",132713,0.000866531537980454
"155","puget_sound_area","OH","1415",129,"2014",68980,0.00187010727747173
"156","puget_sound_area","DC","1415",110,"2014",68980,0.00159466512032473
"157","puget_sound_area","KS","1415",101,"2014",68980,0.00146419251957089
"158","bay_area","NM","1415",101,"2014",132713,0.000761040742052399
"159","bay_area","WI","1415",52,"2014",132713,0.000391822956304205
"160","puget_sound_area","CT","1415",85,"2014",68980,0.00123224122934184
"161","puget_sound_area","WI","1415",59,"2014",68980,0.000855320382719629
"162","puget_sound_area","NM","1415",82,"2014",68980,0.00118875036242389
"163","bay_area","MO","1415",43,"2014",132713,0.00032400744463617
"164","puget_sound_area","KY","1415",55,"2014",68980,0.000797332560162366
"165","puget_sound_area","IN","1415",23,"2014",68980,0.000333429979704262
"166","bay_area","NE","1415",27,"2014",132713,0.000203446535004107
"167","bay_area","OK","1415",20,"2014",132713,0.000150701137040079
"168","bay_area","IN","1415",50,"2014",132713,0.000376752842600197
"169","puget_sound_area","NE","1415",37,"2014",68980,0.000536387358654682
"170","puget_sound_area","IA","1415",20,"2014",68980,0.000289939112786315
"171","puget_sound_area","ND","1415",20,"2014",68980,0.000289939112786315
"172","bay_area","AK","1415",46,"2014",132713,0.000346612615192182
"173","bay_area","bay_area","1314",89291,"2013",167471,0.533172907548172
"174","puget_sound_area","puget_sound_area","1314",45370,"2013",93106,0.487294051940799
"175","bay_area","CA","1314",31248,"2013",167471,0.186587528587039
"176","bay_area","LA","1314",12874,"2013",167471,0.0768730108496396
"177","puget_sound_area","WA","1314",9035,"2013",93106,0.0970399329796146
"178","bay_area","TX","1314",4802,"2013",167471,0.0286736211045494
"179","bay_area","puget_sound_area","1314",3153,"2013",167471,0.018827140221292
"180","puget_sound_area","LA","1314",4118,"2013",93106,0.0442291581638133
"181","bay_area","NY","1314",3196,"2013",167471,0.0190839010933236
"182","bay_area","NV","1314",3023,"2013",167471,0.0180508864221268
"183","bay_area","pdx","1314",1960,"2013",167471,0.0117035188181834
"184","puget_sound_area","bay_area","1314",3026,"2013",93106,0.0325005907245505
"185","puget_sound_area","pdx","1314",2715,"2013",93106,0.0291603119025627
"186","puget_sound_area","AZ","1314",2681,"2013",93106,0.0287951367258823
"187","puget_sound_area","TX","1314",3285,"2013",93106,0.0352823663351449
"188","bay_area","AZ","1314",2106,"2013",167471,0.0125753115464767
"189","puget_sound_area","CA","1314",3060,"2013",93106,0.0328657659012309
"190","bay_area","OR","1314",1094,"2013",167471,0.00653247427912892
"191","bay_area","CO","1314",1299,"2013",167471,0.00775656680858178
"192","puget_sound_area","OR","1314",1412,"2013",93106,0.0151655102786072
"193","bay_area","IL","1314",1302,"2013",167471,0.00777448035779329
"194","bay_area","MA","1314",1159,"2013",167471,0.00692060117871154
"195","bay_area","FL","1314",1276,"2013",167471,0.00761922959796024
"196","puget_sound_area","HI","1314",1366,"2013",93106,0.0146714497454514
"197","puget_sound_area","FL","1314",1573,"2013",93106,0.0168947221446523
"198","puget_sound_area","CO","1314",1241,"2013",93106,0.0133288939488325
"199","puget_sound_area","NY","1314",1101,"2013",93106,0.0118252314566193
"200","puget_sound_area","NV","1314",1034,"2013",93106,0.0111056215496316
"201","bay_area","HI","1314",1064,"2013",167471,0.00635333878701387
"202","puget_sound_area","ID","1314",809,"2013",93106,0.00868902111571757
"203","puget_sound_area","UT","1314",578,"2013",93106,0.00620797800356583
"204","bay_area","NC","1314",627,"2013",167471,0.0037439317852046
"205","puget_sound_area","NC","1314",671,"2013",93106,0.0072068395162503
"206","bay_area","GA","1314",565,"2013",167471,0.00337371843483349
"207","bay_area","UT","1314",466,"2013",167471,0.00278257131085382
"208","puget_sound_area","IL","1314",595,"2013",93106,0.006390565591906
"209","puget_sound_area","GA","1314",715,"2013",93106,0.00767941915666015
"210","puget_sound_area","VA","1314",613,"2013",93106,0.00658389362661912
"211","bay_area","ID","1314",355,"2013",167471,0.00211976999002812
"212","bay_area","PA","1314",420,"2013",167471,0.00250789688961074
"213","bay_area","DC","1314",464,"2013",167471,0.00277062894471282
"214","puget_sound_area","AK","1314",544,"2013",93106,0.00584280282688549
"215","puget_sound_area","MA","1314",430,"2013",93106,0.00461839194036904
"216","bay_area","VA","1314",451,"2013",167471,0.00269300356479629
"217","bay_area","MD","1314",375,"2013",167471,0.00223919365143816
"218","puget_sound_area","MT","1314",368,"2013",93106,0.00395248426524606
"219","bay_area","MI","1314",372,"2013",167471,0.00222128010222665
"220","puget_sound_area","MD","1314",298,"2013",93106,0.00320065301913948
"221","bay_area","NJ","1314",455,"2013",167471,0.0027168882970783
"222","bay_area","MN","1314",361,"2013",167471,0.00215559708845113
"223","bay_area","OH","1314",227,"2013",167471,0.0013554585570039
"224","puget_sound_area","MN","1314",312,"2013",93106,0.00335101926836079
"225","puget_sound_area","TN","1314",246,"2013",93106,0.00264214980774601
"226","bay_area","WA","1314",137,"2013",167471,0.000818052080658741
"227","puget_sound_area","MI","1314",215,"2013",93106,0.00230919597018452
"228","puget_sound_area","OK","1314",186,"2013",93106,0.00199772302536893
"229","puget_sound_area","PA","1314",256,"2013",93106,0.00274955427147552
"230","puget_sound_area","MO","1314",265,"2013",93106,0.00284621828883208
"231","puget_sound_area","SC","1314",287,"2013",93106,0.00308250810903701
"232","bay_area","CT","1314",227,"2013",167471,0.0013554585570039
"233","puget_sound_area","NJ","1314",119,"2013",93106,0.0012781131183812
"234","bay_area","TN","1314",172,"2013",167471,0.0010270434881263
"235","puget_sound_area","OH","1314",207,"2013",93106,0.00222327239920091
"236","puget_sound_area","DC","1314",156,"2013",93106,0.0016755096341804
"237","puget_sound_area","KS","1314",222,"2013",93106,0.00238437909479518
"238","bay_area","NM","1314",222,"2013",167471,0.00132560264165139
"239","bay_area","WI","1314",166,"2013",167471,0.000991216389703292
"240","puget_sound_area","CT","1314",204,"2013",93106,0.00219105106008206
"241","puget_sound_area","WI","1314",132,"2013",93106,0.00141773892122957
"242","puget_sound_area","NM","1314",158,"2013",93106,0.0016969905269263
"243","bay_area","MO","1314",142,"2013",167471,0.00084790799601125
