"","county","total_pop","job","n_county","prop_county","job_class","job_type","n_county_type","prop_county_type","n_county_class","prop_county_class","year"
"245","Thurston ",122393," Other construction workers and helpers",274,0.00223869012116706,"blue_collar","construction\contracting",8631,0.0705187388167624,53484,0.436985775330288,2016
"246","King ",1172234," Extraction workers",133,0.00011345857567687,"blue_collar","construction\contracting",56301,0.048028806535214,449402,0.383372261852156,2016
"247","Kitsap ",113904," Extraction workers",117,0.00102718078381795,"blue_collar","construction\contracting",11340,0.0995575221238938,55859,0.490404200028094,2016
"248","Pierce ",392703," Extraction workers",132,0.000336131885929061,"blue_collar","construction\contracting",35273,0.0898210606998164,210413,0.535806958439329,2016
"249","Snohomish ",402023," Extraction workers",66,0.000164169711683162,"blue_collar","construction\contracting",37036,0.092124082452994,190550,0.473977856988282,2016
"250","Thurston ",122393," Extraction workers",123,0.00100495943395456,"blue_collar","construction\contracting",8631,0.0705187388167624,53484,0.436985775330288,2016
"251","King ",1172234," Vehicle and mobile equipment mechanics, installers, and repairers",10101,0.00861688024745912,"blue_collar","construction\contracting",56301,0.048028806535214,449402,0.383372261852156,2016
"252","Kitsap ",113904," Vehicle and mobile equipment mechanics, installers, and repairers",826,0.00725172074729597,"blue_collar","construction\contracting",11340,0.0995575221238938,55859,0.490404200028094,2016
"253","Pierce ",392703," Vehicle and mobile equipment mechanics, installers, and repairers",6180,0.0157370837503151,"blue_collar","construction\contracting",35273,0.0898210606998164,210413,0.535806958439329,2016
"254","Snohomish ",402023," Vehicle and mobile equipment mechanics, installers, and repairers",7097,0.0176532188456879,"blue_collar","construction\contracting",37036,0.092124082452994,190550,0.473977856988282,2016
"255","Thurston ",122393," Vehicle and mobile equipment mechanics, installers, and repairers",1241,0.0101394687604683,"blue_collar","construction\contracting",8631,0.0705187388167624,53484,0.436985775330288,2016
