"","origin","destinations","year","n"
"939","puget_sound_area","UT",2014,402
"940","puget_sound_area","UT",2015,768
"941","puget_sound_area","VA",2008,950
"942","puget_sound_area","VA",2009,847
"943","puget_sound_area","VA",2010,834
"944","puget_sound_area","VA",2011,1052
"945","puget_sound_area","VA",2012,1043
"946","puget_sound_area","VA",2013,613
"947","puget_sound_area","VA",2014,287
"948","puget_sound_area","VA",2015,674
"949","puget_sound_area","WA",2008,10269
"950","puget_sound_area","WA",2009,9397
"951","puget_sound_area","WA",2010,9045
"952","puget_sound_area","WA",2011,9375
"953","puget_sound_area","WA",2012,9700
"954","puget_sound_area","WA",2013,9035
"955","puget_sound_area","WA",2014,7106
"956","puget_sound_area","WA",2015,10591
"957","puget_sound_area","WI",2008,190
"958","puget_sound_area","WI",2009,188
"959","puget_sound_area","WI",2010,172
"960","puget_sound_area","WI",2011,206
"961","puget_sound_area","WI",2012,174
"962","puget_sound_area","WI",2013,132
"963","puget_sound_area","WI",2014,59
"964","puget_sound_area","WI",2015,153
"965","TN","pdx",2008,83
"966","TN","pdx",2009,58
"967","TN","pdx",2010,102
"968","TN","pdx",2011,93
"969","TN","pdx",2012,113
"970","TN","pdx",2013,54
"971","TN","pdx",2014,36
"972","TN","pdx",2015,130
"973","TX","pdx",2008,685
"974","TX","pdx",2009,458
"975","TX","pdx",2010,609
"976","TX","pdx",2011,958
"977","TX","pdx",2012,1153
"978","TX","pdx",2013,768
"979","TX","pdx",2014,755
"980","TX","pdx",2015,1135
"981","UT","pdx",2008,386
"982","UT","pdx",2009,368
"983","UT","pdx",2010,355
"984","UT","pdx",2011,484
"985","UT","pdx",2012,536
"986","UT","pdx",2013,489
"987","UT","pdx",2014,302
"988","UT","pdx",2015,435
"989","VA","pdx",2008,193
"990","VA","pdx",2009,126
"991","VA","pdx",2010,155
"992","VA","pdx",2011,170
"993","VA","pdx",2012,225
"994","VA","pdx",2013,136
"995","VA","pdx",2014,69
"996","VA","pdx",2015,144
"997","VT","pdx",2008,39
"998","VT","pdx",2009,26
"999","VT","pdx",2010,40
"1000","VT","pdx",2011,39
"1001","VT","pdx",2012,26
"1002","VT","pdx",2013,25
"1003","VT","pdx",2014,22
"1004","VT","pdx",2015,40
"1005","WA","pdx",2008,1080
"1006","WA","pdx",2009,899
"1007","WA","pdx",2010,1052
"1008","WA","pdx",2011,2515
"1009","WA","pdx",2012,2600
"1010","WA","pdx",2013,2083
"1011","WA","pdx",2014,1487
"1012","WA","pdx",2015,3704
"1013","WI","pdx",2008,183
"1014","WI","pdx",2009,95
"1015","WI","pdx",2010,181
"1016","WI","pdx",2011,121
"1017","WI","pdx",2012,159
"1018","WI","pdx",2013,133
"1019","WI","pdx",2014,71
"1020","WI","pdx",2015,159
