"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","41","005","41","051","OR","Multnomah County",3675,6060,133196,"pdx","pdx"
"2","41","005","41","067","OR","Washington County",1734,2882,71766,"pdx","pdx"
"3","41","005","41","047","OR","Marion County",608,1231,22748,"pdx","pdx"
"4","41","005","53","011","WA","Clark County",562,1144,40632,"pdx","pdx"
"5","41","005","41","071","OR","Yamhill County",178,332,7239,"pdx","pdx"
"6","41","005","41","017","OR","Deschutes County",165,309,10118,"pdx","pdx"
"7","41","005","53","033","WA","King County",162,266,10212,"pdx","puget_sound_area"
"8","41","005","41","039","OR","Lane County",146,218,3623,"pdx","pdx"
"9","41","005","04","013","AZ","Maricopa County",99,191,4900,"pdx","pdx"
"10","41","005","41","003","OR","Benton County",87,122,2388,"pdx","pdx"
"11","41","005","06","037","CA","Los Angeles County",83,154,5038,"pdx","pdx"
"12","41","005","06","073","CA","San Diego County",69,122,2480,"pdx","pdx"
"13","41","005","41","053","OR","Polk County",67,138,2632,"pdx","pdx"
"14","41","005","53","053","WA","Pierce County",60,98,2375,"pdx","puget_sound_area"
"15","41","005","41","029","OR","Jackson County",57,94,2002,"pdx","pdx"
"16","41","005","41","009","OR","Columbia County",54,96,2231,"pdx","pdx"
"17","41","005","41","043","OR","Linn County",53,107,1599,"pdx","pdx"
"18","41","005","41","041","OR","Lincoln County",45,79,1868,"pdx","pdx"
"19","41","005","41","007","OR","Clatsop County",41,81,1433,"pdx","pdx"
"20","41","005","53","063","WA","Spokane County",41,76,1576,"pdx","pdx"
"21","41","005","04","019","AZ","Pima County",40,61,2070,"pdx","pdx"
"22","41","005","53","015","WA","Cowlitz County",38,68,1874,"pdx","pdx"
"23","41","005","53","061","WA","Snohomish County",37,67,1665,"pdx","puget_sound_area"
"24","41","005","06","065","CA","Riverside County",35,76,2751,"pdx","pdx"
"25","41","005","32","003","NV","Clark County",35,63,1018,"pdx","pdx"
"26","41","005","41","057","OR","Tillamook County",34,56,1039,"pdx","pdx"
"27","41","005","06","067","CA","Sacramento County",33,60,1090,"pdx","pdx"
"28","41","005","16","001","ID","Ada County",32,64,1497,"pdx","pdx"
"29","41","005","41","019","OR","Douglas County",31,57,813,"pdx","pdx"
"30","41","005","06","071","CA","San Bernardino County",30,57,752,"pdx","pdx"
"31","41","005","06","001","CA","Alameda County",29,46,1928,"pdx","bay_area"
"32","41","005","06","085","CA","Santa Clara County",29,49,2322,"pdx","bay_area"
"33","41","005","15","003","HI","Honolulu County",29,38,956,"pdx","pdx"
"34","41","005","06","013","CA","Contra Costa County",27,53,2851,"pdx","bay_area"
"35","41","005","06","059","CA","Orange County",27,44,1051,"pdx","pdx"
"36","41","005","41","027","OR","Hood River County",26,49,1497,"pdx","pdx"
"37","41","005","49","035","UT","Salt Lake County",26,45,1295,"pdx","pdx"
"38","41","005","49","049","UT","Utah County",26,52,884,"pdx","pdx"
"39","41","005","53","035","WA","Kitsap County",23,40,1215,"pdx","puget_sound_area"
"40","41","005","53","067","WA","Thurston County",23,56,1088,"pdx","puget_sound_area"
"41","41","005","41","035","OR","Klamath County",22,39,648,"pdx","pdx"
"42","41","005","41","059","OR","Umatilla County",21,32,521,"pdx","pdx"
"43","41","005","41","065","OR","Wasco County",21,49,530,"pdx","pdx"
"44","41","005","48","453","TX","Travis County",21,40,1756,"pdx","pdx"
"45","41","005","17","031","IL","Cook County",20,37,726,"pdx","pdx"
