"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","41","005","41","051","OR","Multnomah County",3682,6289,173929,"pdx","pdx"
"2","41","005","41","067","OR","Washington County",1856,3147,108883,"pdx","pdx"
"3","41","005","41","047","OR","Marion County",716,1471,32666,"pdx","pdx"
"4","41","005","53","011","WA","Clark County",679,1423,40335,"pdx","pdx"
"5","41","005","41","017","OR","Deschutes County",231,450,17000,"pdx","pdx"
"6","41","005","53","033","WA","King County",203,349,15244,"pdx","puget_sound_area"
"7","41","005","41","071","OR","Yamhill County",172,321,8988,"pdx","pdx"
"8","41","005","04","013","AZ","Maricopa County",141,294,14750,"pdx","pdx"
"9","41","005","41","039","OR","Lane County",133,230,5662,"pdx","pdx"
"10","41","005","06","037","CA","Los Angeles County",104,155,4539,"pdx","pdx"
"11","41","005","53","053","WA","Pierce County",91,206,4074,"pdx","puget_sound_area"
"12","41","005","06","073","CA","San Diego County",87,164,6037,"pdx","pdx"
"13","41","005","41","053","OR","Polk County",78,147,3462,"pdx","pdx"
"14","41","005","41","053","OR","Polk County",78,147,3462,"pdx","pdx"
"15","41","005","41","003","OR","Benton County",71,120,3182,"pdx","pdx"
"16","41","005","41","043","OR","Linn County",71,128,2475,"pdx","pdx"
"17","41","005","32","003","NV","Clark County",70,137,3718,"pdx","pdx"
"18","41","005","41","009","OR","Columbia County",69,126,3383,"pdx","pdx"
"19","41","005","53","061","WA","Snohomish County",59,104,2973,"pdx","puget_sound_area"
"20","41","005","41","029","OR","Jackson County",57,93,2832,"pdx","pdx"
"21","41","005","06","059","CA","Orange County",55,113,4216,"pdx","pdx"
"22","41","005","16","001","ID","Ada County",54,104,3223,"pdx","pdx"
"23","41","005","53","015","WA","Cowlitz County",52,92,2377,"pdx","pdx"
"24","41","005","48","453","TX","Travis County",50,95,2776,"pdx","pdx"
"25","41","005","41","057","OR","Tillamook County",48,75,2791,"pdx","pdx"
"26","41","005","06","065","CA","Riverside County",47,91,6908,"pdx","pdx"
"27","41","005","53","063","WA","Spokane County",44,80,1952,"pdx","pdx"
"28","41","005","41","041","OR","Lincoln County",42,63,1243,"pdx","pdx"
"29","41","005","41","019","OR","Douglas County",40,70,1914,"pdx","pdx"
"30","41","005","06","001","CA","Alameda County",36,55,2303,"pdx","bay_area"
"31","41","005","41","013","OR","Crook County",36,73,1798,"pdx","pdx"
"32","41","005","41","007","OR","Clatsop County",35,65,3821,"pdx","pdx"
"33","41","005","06","067","CA","Sacramento County",34,80,1972,"pdx","pdx"
"34","41","005","06","075","CA","San Francisco County",32,38,1908,"pdx","bay_area"
"35","41","005","04","019","AZ","Pima County",31,55,1956,"pdx","pdx"
"36","41","005","06","085","CA","Santa Clara County",31,51,2410,"pdx","bay_area"
"37","41","005","41","035","OR","Klamath County",31,70,1722,"pdx","pdx"
"38","41","005","41","065","OR","Wasco County",31,51,1433,"pdx","pdx"
"39","41","005","41","031","OR","Jefferson County",30,55,2291,"pdx","pdx"
"40","41","005","53","067","WA","Thurston County",28,49,1592,"pdx","puget_sound_area"
"41","41","005","15","003","HI","Honolulu County",26,51,1329,"pdx","pdx"
"42","41","005","41","059","OR","Umatilla County",26,42,945,"pdx","pdx"
"43","41","005","06","013","CA","Contra Costa County",24,49,2143,"pdx","bay_area"
"44","41","005","49","035","UT","Salt Lake County",24,49,1264,"pdx","pdx"
"45","41","005","41","011","OR","Coos County",23,36,1189,"pdx","pdx"
"46","41","005","41","033","OR","Josephine County",22,40,908,"pdx","pdx"
"47","41","005","48","201","TX","Harris County",22,43,1183,"pdx","pdx"
"48","41","005","16","055","ID","Kootenai County",21,37,971,"pdx","pdx"
"49","41","005","48","113","TX","Dallas County",21,44,1390,"pdx","pdx"
"50","41","005","32","031","NV","Washoe County",20,35,1491,"pdx","pdx"
"51","41","005","49","049","UT","Utah County",20,39,1212,"pdx","pdx"
"52","41","011","41","039","OR","Lane County",120,225,4974,"pdx","pdx"
"53","41","011","41","019","OR","Douglas County",107,235,3573,"pdx","pdx"
"54","41","011","41","051","OR","Multnomah County",64,85,2204,"pdx","pdx"
"55","41","011","41","029","OR","Jackson County",57,115,2069,"pdx","pdx"
"56","41","011","41","017","OR","Deschutes County",47,90,1940,"pdx","pdx"
"57","41","011","41","067","OR","Washington County",34,55,1403,"pdx","pdx"
"58","41","011","41","047","OR","Marion County",31,53,1225,"pdx","pdx"
"59","41","011","41","005","OR","Clackamas County",29,56,1166,"pdx","pdx"
"60","41","011","41","015","OR","Curry County",28,54,907,"pdx","pdx"
"61","41","011","41","033","OR","Josephine County",25,46,834,"pdx","pdx"
"62","41","011","53","033","WA","King County",20,29,988,"pdx","puget_sound_area"
"63","41","051","41","005","OR","Clackamas County",4700,8699,260594,"pdx","pdx"
"64","41","051","41","067","OR","Washington County",4020,6337,216338,"pdx","pdx"
"65","41","051","53","011","WA","Clark County",2279,4604,126563,"pdx","pdx"
"66","41","051","53","033","WA","King County",749,1094,45548,"pdx","puget_sound_area"
"67","41","051","41","047","OR","Marion County",467,768,17144,"pdx","pdx"
"68","41","051","06","037","CA","Los Angeles County",428,604,20353,"pdx","pdx"
"69","41","051","06","037","CA","Los Angeles County",428,604,20353,"pdx","pdx"
"70","41","051","41","039","OR","Lane County",379,542,15941,"pdx","pdx"
"71","41","051","41","017","OR","Deschutes County",370,595,28402,"pdx","pdx"
"72","41","051","04","013","AZ","Maricopa County",249,398,13286,"pdx","pdx"
"73","41","051","41","009","OR","Columbia County",243,442,10770,"pdx","pdx"
"74","41","051","06","073","CA","San Diego County",205,297,11441,"pdx","pdx"
"75","41","051","41","071","OR","Yamhill County",205,318,9763,"pdx","pdx"
"76","41","051","06","075","CA","San Francisco County",195,237,13647,"pdx","bay_area"
"77","41","051","41","029","OR","Jackson County",183,257,7424,"pdx","pdx"
"78","41","051","48","453","TX","Travis County",181,303,8021,"pdx","pdx"
"79","41","051","41","003","OR","Benton County",167,232,5541,"pdx","pdx"
"80","41","051","06","001","CA","Alameda County",164,226,8121,"pdx","bay_area"
"81","41","051","53","053","WA","Pierce County",163,288,7306,"pdx","puget_sound_area"
"82","41","051","32","003","NV","Clark County",146,233,7109,"pdx","pdx"
"83","41","051","06","059","CA","Orange County",141,234,7796,"pdx","pdx"
"84","41","051","06","085","CA","Santa Clara County",131,210,10927,"pdx","bay_area"
"85","41","051","17","031","IL","Cook County",127,172,8561,"pdx","pdx"
"86","41","051","36","047","NY","Kings County",124,148,4450,"pdx","pdx"
"87","41","051","08","031","CO","Denver County",116,145,6086,"pdx","pdx"
"88","41","051","41","007","OR","Clatsop County",115,193,7098,"pdx","pdx"
"89","41","051","53","015","WA","Cowlitz County",108,207,3594,"pdx","pdx"
"90","41","051","16","001","ID","Ada County",107,165,4985,"pdx","pdx"
"91","41","051","41","057","OR","Tillamook County",103,160,4316,"pdx","pdx"
"92","41","051","53","067","WA","Thurston County",101,150,3427,"pdx","puget_sound_area"
"93","41","051","36","061","NY","New York County",100,130,6532,"pdx","pdx"
"94","41","051","41","041","OR","Lincoln County",99,153,4777,"pdx","pdx"
"95","41","051","41","027","OR","Hood River County",95,160,4468,"pdx","pdx"
"96","41","051","41","043","OR","Linn County",93,161,3355,"pdx","pdx"
"97","41","051","06","065","CA","Riverside County",91,161,5403,"pdx","pdx"
"98","41","051","48","201","TX","Harris County",91,158,6538,"pdx","pdx"
"99","41","051","15","003","HI","Honolulu County",89,143,5619,"pdx","pdx"
"100","41","051","53","063","WA","Spokane County",89,145,3838,"pdx","pdx"
"101","41","051","53","061","WA","Snohomish County",85,147,3327,"pdx","puget_sound_area"
"102","41","051","27","053","MN","Hennepin County",80,139,4238,"pdx","pdx"
"103","41","051","06","067","CA","Sacramento County",77,123,3314,"pdx","pdx"
"104","41","051","41","053","OR","Polk County",73,134,3113,"pdx","pdx"
"105","41","051","06","013","CA","Contra Costa County",71,107,7366,"pdx","bay_area"
"106","41","051","49","035","UT","Salt Lake County",71,97,3466,"pdx","pdx"
"107","41","051","04","019","AZ","Pima County",68,99,3637,"pdx","pdx"
"108","41","051","02","020","AK","Anchorage Municipality",65,96,2978,"pdx","pdx"
"109","41","051","41","019","OR","Douglas County",65,107,2064,"pdx","pdx"
"110","41","051","41","059","OR","Umatilla County",59,101,2388,"pdx","pdx"
"111","41","051","11","001","DC","District of Columbia",57,71,2906,"pdx","pdx"
"112","41","051","06","081","CA","San Mateo County",54,75,4822,"pdx","bay_area"
"113","41","051","32","031","NV","Washoe County",53,72,2280,"pdx","pdx"
"114","41","051","48","113","TX","Dallas County",51,92,2042,"pdx","pdx"
"115","41","051","25","017","MA","Middlesex County",47,68,5544,"pdx","pdx"
"116","41","051","41","065","OR","Wasco County",47,78,2062,"pdx","pdx"
"117","41","051","53","039","WA","Klickitat County",47,75,2838,"pdx","pdx"
"118","41","051","06","083","CA","Santa Barbara County",46,65,2605,"pdx","pdx"
"119","41","051","08","013","CO","Boulder County",46,61,2154,"pdx","pdx"
"120","41","051","53","073","WA","Whatcom County",45,76,2594,"pdx","pdx"
"121","41","051","06","097","CA","Sonoma County",44,65,2135,"pdx","bay_area"
"122","41","051","53","035","WA","Kitsap County",44,80,2220,"pdx","puget_sound_area"
"123","41","051","41","011","OR","Coos County",43,66,1124,"pdx","pdx"
"124","41","051","06","111","CA","Ventura County",42,69,2010,"pdx","pdx"
"125","41","051","25","025","MA","Suffolk County",42,60,3950,"pdx","pdx"
"126","41","051","41","035","OR","Klamath County",42,71,1617,"pdx","pdx"
"127","41","051","48","439","TX","Tarrant County",42,77,1966,"pdx","pdx"
"128","41","051","53","077","WA","Yakima County",42,73,2007,"pdx","pdx"
"129","41","051","41","031","OR","Jefferson County",41,86,2281,"pdx","pdx"
"130","41","051","41","033","OR","Josephine County",40,59,1400,"pdx","pdx"
"131","41","051","53","059","WA","Skamania County",40,91,2133,"pdx","pdx"
"132","41","051","06","071","CA","San Bernardino County",39,78,1729,"pdx","pdx"
"133","41","051","47","037","TN","Davidson County",39,56,2082,"pdx","pdx"
"134","41","051","42","101","PA","Philadelphia County",38,50,2333,"pdx","pdx"
"135","41","051","12","086","FL","Miami-Dade County",34,61,2293,"pdx","pdx"
