"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","41","005","41","051","OR","Multnomah County",3513,5659,128819,"pdx","pdx"
"2","41","005","41","067","OR","Washington County",1753,2898,72016,"pdx","pdx"
"3","41","005","53","011","WA","Clark County",591,1104,27885,"pdx","pdx"
"4","41","005","41","047","OR","Marion County",571,1129,24116,"pdx","pdx"
"5","41","005","53","033","WA","King County",159,288,10479,"pdx","puget_sound_area"
"6","41","005","41","017","OR","Deschutes County",155,302,8224,"pdx","pdx"
"7","41","005","41","071","OR","Yamhill County",151,282,6817,"pdx","pdx"
"8","41","005","41","039","OR","Lane County",142,198,4056,"pdx","pdx"
"9","41","005","04","013","AZ","Maricopa County",130,244,8110,"pdx","pdx"
"10","41","005","06","037","CA","Los Angeles County",115,194,4077,"pdx","pdx"
"11","41","005","41","003","OR","Benton County",90,114,2356,"pdx","pdx"
"12","41","005","41","053","OR","Polk County",80,145,2899,"pdx","pdx"
"13","41","005","06","073","CA","San Diego County",69,105,4301,"pdx","pdx"
"14","41","005","53","053","WA","Pierce County",69,129,2198,"pdx","puget_sound_area"
"15","41","005","41","009","OR","Columbia County",67,113,2553,"pdx","pdx"
"16","41","005","41","043","OR","Linn County",59,116,2224,"pdx","pdx"
"17","41","005","41","041","OR","Lincoln County",55,85,2689,"pdx","pdx"
"18","41","005","32","003","NV","Clark County",54,89,1867,"pdx","pdx"
"19","41","005","41","029","OR","Jackson County",50,91,2201,"pdx","pdx"
"20","41","005","41","019","OR","Douglas County",45,89,1404,"pdx","pdx"
"21","41","005","06","059","CA","Orange County",43,90,1640,"pdx","pdx"
"22","41","005","53","063","WA","Spokane County",43,97,1882,"pdx","pdx"
"23","41","005","06","071","CA","San Bernardino County",42,88,1637,"pdx","pdx"
"24","41","005","06","085","CA","Santa Clara County",42,73,3161,"pdx","bay_area"
"25","41","005","53","015","WA","Cowlitz County",38,72,1689,"pdx","pdx"
"26","41","005","15","003","HI","Honolulu County",37,54,2014,"pdx","pdx"
"27","41","005","41","007","OR","Clatsop County",37,75,1543,"pdx","pdx"
"28","41","005","06","067","CA","Sacramento County",34,55,1234,"pdx","pdx"
"29","41","005","41","059","OR","Umatilla County",34,62,1101,"pdx","pdx"
"30","41","005","41","065","OR","Wasco County",34,53,1183,"pdx","pdx"
"31","41","005","49","035","UT","Salt Lake County",34,60,1324,"pdx","pdx"
"32","41","005","53","061","WA","Snohomish County",33,65,1759,"pdx","puget_sound_area"
"33","41","005","04","019","AZ","Pima County",32,55,1992,"pdx","pdx"
"34","41","005","16","001","ID","Ada County",31,56,1003,"pdx","pdx"
"35","41","005","06","065","CA","Riverside County",29,48,1308,"pdx","pdx"
"36","41","005","49","049","UT","Utah County",28,59,758,"pdx","pdx"
"37","41","005","41","011","OR","Coos County",27,48,814,"pdx","pdx"
"38","41","005","53","067","WA","Thurston County",26,54,750,"pdx","puget_sound_area"
"39","41","005","06","075","CA","San Francisco County",25,34,1820,"pdx","bay_area"
"40","41","005","41","027","OR","Hood River County",24,43,878,"pdx","pdx"
"41","41","005","17","031","IL","Cook County",23,37,1602,"pdx","pdx"
"42","41","005","41","057","OR","Tillamook County",23,38,671,"pdx","pdx"
"43","41","005","53","005","WA","Benton County",23,38,1108,"pdx","pdx"
"44","41","005","53","077","WA","Yakima County",23,44,1309,"pdx","pdx"
"45","41","005","32","031","NV","Washoe County",22,43,1942,"pdx","pdx"
"46","41","005","06","001","CA","Alameda County",21,33,1820,"pdx","bay_area"
"47","41","005","06","013","CA","Contra Costa County",21,48,3418,"pdx","bay_area"
"48","41","005","41","035","OR","Klamath County",21,45,1888,"pdx","pdx"
"49","41","005","41","013","OR","Crook County",19,44,764,"pdx","pdx"
"50","41","005","41","033","OR","Josephine County",19,33,459,"pdx","pdx"
"51","41","005","48","201","TX","Harris County",19,41,1185,"pdx","pdx"
"52","41","005","06","061","CA","Placer County",18,28,1089,"pdx","pdx"
"53","41","005","53","035","WA","Kitsap County",17,42,824,"pdx","puget_sound_area"
"54","41","005","53","073","WA","Whatcom County",17,46,972,"pdx","pdx"
"55","41","005","02","020","AK","Anchorage Municipality",16,41,897,"pdx","pdx"
"56","41","005","16","027","ID","Canyon County",16,38,561,"pdx","pdx"
"57","41","005","41","031","OR","Jefferson County",16,37,548,"pdx","pdx"
"58","41","005","08","031","CO","Denver County",15,17,973,"pdx","pdx"
"59","41","005","11","001","DC","District of Columbia",15,16,601,"pdx","pdx"
"60","41","005","40","143","OK","Tulsa County",15,38,709,"pdx","pdx"
"61","41","005","48","453","TX","Travis County",15,17,551,"pdx","pdx"
"62","41","005","53","071","WA","Walla Walla County",15,21,1105,"pdx","pdx"
"63","41","005","04","015","AZ","Mohave County",14,24,528,"pdx","pdx"
"64","41","005","06","029","CA","Kern County",14,26,595,"pdx","pdx"
"65","41","005","06","111","CA","Ventura County",14,25,451,"pdx","pdx"
"66","41","005","15","001","HI","Hawaii County",13,21,592,"pdx","pdx"
"67","41","005","36","061","NY","New York County",13,16,836,"pdx","pdx"
"68","41","005","37","119","NC","Mecklenburg County",13,22,1621,"pdx","pdx"
"69","41","005","41","061","OR","Union County",13,24,435,"pdx","pdx"
"70","41","005","48","027","TX","Bell County",13,23,263,"pdx","pdx"
"71","41","005","53","041","WA","Lewis County",13,18,396,"pdx","pdx"
"72","41","005","04","021","AZ","Pinal County",12,29,751,"pdx","pdx"
"73","41","005","48","439","TX","Tarrant County",12,32,981,"pdx","pdx"
"74","41","005","53","039","WA","Klickitat County",12,27,644,"pdx","pdx"
"75","41","005","53","049","WA","Pacific County",12,26,500,"pdx","pdx"
"76","41","005","30","063","MT","Missoula County",11,16,341,"pdx","pdx"
"77","41","005","48","113","TX","Dallas County",11,20,263,"pdx","pdx"
"78","41","005","53","029","WA","Island County",11,21,474,"pdx","puget_sound_area"
"79","41","005","04","025","AZ","Yavapai County",10,15,619,"pdx","pdx"
"80","41","005","06","019","CA","Fresno County",10,35,22,"pdx","pdx"
"81","41","005","06","053","CA","Monterey County",10,14,-115,"pdx","pdx"
"82","41","005","06","079","CA","San Luis Obispo County",10,14,339,"pdx","pdx"
"83","41","005","06","097","CA","Sonoma County",10,14,397,"pdx","bay_area"
"84","41","005","08","005","CO","Arapahoe County",10,22,589,"pdx","pdx"
"85","41","005","08","059","CO","Jefferson County",10,26,366,"pdx","pdx"
"86","41","005","24","031","MD","Montgomery County",10,19,706,"pdx","pdx"
"87","41","005","27","053","MN","Hennepin County",10,16,357,"pdx","pdx"
"88","41","005","37","051","NC","Cumberland County",10,19,224,"pdx","pdx"
"89","41","005","47","157","TN","Shelby County",10,21,700,"pdx","pdx"
"90","41","005","53","059","WA","Skamania County",10,12,4223,"pdx","pdx"
"91","41","011","41","039","OR","Lane County",136,246,3857,"pdx","pdx"
"92","41","011","41","019","OR","Douglas County",103,209,2652,"pdx","pdx"
"93","41","011","41","051","OR","Multnomah County",53,77,1719,"pdx","pdx"
"94","41","011","41","029","OR","Jackson County",51,92,1713,"pdx","pdx"
"95","41","011","41","067","OR","Washington County",41,75,1314,"pdx","pdx"
"96","41","011","41","015","OR","Curry County",40,82,870,"pdx","pdx"
"97","41","011","53","033","WA","King County",34,49,1299,"pdx","puget_sound_area"
"98","41","011","41","017","OR","Deschutes County",31,60,1001,"pdx","pdx"
"99","41","011","41","047","OR","Marion County",29,60,1195,"pdx","pdx"
"100","41","011","41","005","OR","Clackamas County",27,57,1090,"pdx","pdx"
"101","41","011","41","003","OR","Benton County",20,28,506,"pdx","pdx"
"102","41","011","41","041","OR","Lincoln County",18,34,-109,"pdx","pdx"
"103","41","011","06","037","CA","Los Angeles County",16,32,472,"pdx","pdx"
"104","41","011","06","073","CA","San Diego County",16,24,362,"pdx","pdx"
"105","41","011","41","043","OR","Linn County",16,20,328,"pdx","pdx"
"106","41","011","53","011","WA","Clark County",15,34,931,"pdx","pdx"
"107","41","011","32","031","NV","Washoe County",14,19,394,"pdx","pdx"
"108","41","011","04","013","AZ","Maricopa County",13,22,440,"pdx","pdx"
"109","41","011","41","033","OR","Josephine County",13,22,388,"pdx","pdx"
"110","41","011","41","053","OR","Polk County",13,22,551,"pdx","pdx"
"111","41","011","41","071","OR","Yamhill County",13,21,436,"pdx","pdx"
"112","41","011","41","035","OR","Klamath County",12,30,448,"pdx","pdx"
"113","41","011","06","071","CA","San Bernardino County",11,26,301,"pdx","pdx"
"114","41","011","32","003","NV","Clark County",10,15,247,"pdx","pdx"
"115","41","011","41","007","OR","Clatsop County",10,19,311,"pdx","pdx"
"116","41","051","41","005","OR","Clackamas County",3938,7186,170196,"pdx","pdx"
"117","41","051","41","067","OR","Washington County",3801,5964,153964,"pdx","pdx"
"118","41","051","53","011","WA","Clark County",1762,3395,74749,"pdx","pdx"
