"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","41","005","41","051","OR","Multnomah County",2966,4791,140977,"pdx","pdx"
"2","41","005","41","067","OR","Washington County",1513,2404,83532,"pdx","pdx"
"3","41","005","53","011","WA","Clark County",594,1278,47558,"pdx","pdx"
"4","41","005","41","047","OR","Marion County",551,1051,24766,"pdx","pdx"
"5","41","005","41","017","OR","Deschutes County",166,318,14239,"pdx","pdx"
"6","41","005","41","071","OR","Yamhill County",156,297,8697,"pdx","pdx"
"7","41","005","53","033","WA","King County",135,208,7705,"pdx","puget_sound_area"
"8","41","005","41","039","OR","Lane County",119,181,4728,"pdx","pdx"
"9","41","005","04","013","AZ","Maricopa County",111,192,13916,"pdx","pdx"
"10","41","005","06","037","CA","Los Angeles County",99,150,3712,"pdx","pdx"
"11","41","005","41","009","OR","Columbia County",69,120,3645,"pdx","pdx"
"12","41","005","41","043","OR","Linn County",67,94,2751,"pdx","pdx"
"13","41","005","53","053","WA","Pierce County",65,123,3433,"pdx","puget_sound_area"
"14","41","005","41","003","OR","Benton County",61,78,2039,"pdx","pdx"
"15","41","005","41","053","OR","Polk County",56,86,2426,"pdx","pdx"
"16","41","005","06","073","CA","San Diego County",53,79,2944,"pdx","pdx"
"17","41","005","48","453","TX","Travis County",53,73,2495,"pdx","pdx"
"18","41","005","41","029","OR","Jackson County",47,71,1365,"pdx","pdx"
"19","41","005","41","041","OR","Lincoln County",45,68,1318,"pdx","pdx"
"20","41","005","32","003","NV","Clark County",44,78,3699,"pdx","pdx"
"21","41","005","06","059","CA","Orange County",39,65,1937,"pdx","pdx"
"22","41","005","41","007","OR","Clatsop County",37,65,2079,"pdx","pdx"
"23","41","005","53","061","WA","Snohomish County",37,66,2132,"pdx","puget_sound_area"
"24","41","005","06","065","CA","Riverside County",36,54,1681,"pdx","pdx"
"25","41","005","41","019","OR","Douglas County",32,72,1422,"pdx","pdx"
"26","41","005","53","015","WA","Cowlitz County",32,64,1231,"pdx","pdx"
"27","41","005","53","063","WA","Spokane County",32,44,1197,"pdx","pdx"
"28","41","005","53","067","WA","Thurston County",30,47,1338,"pdx","puget_sound_area"
"29","41","005","41","057","OR","Tillamook County",29,58,1468,"pdx","pdx"
"30","41","005","41","065","OR","Wasco County",29,61,1128,"pdx","pdx"
"31","41","005","06","075","CA","San Francisco County",28,32,2643,"pdx","bay_area"
"32","41","005","15","003","HI","Honolulu County",28,48,1151,"pdx","pdx"
"33","41","005","16","001","ID","Ada County",28,54,1404,"pdx","pdx"
"34","41","005","06","085","CA","Santa Clara County",26,49,2440,"pdx","bay_area"
"35","41","005","41","011","OR","Coos County",26,39,1221,"pdx","pdx"
"36","41","005","49","035","UT","Salt Lake County",24,52,1671,"pdx","pdx"
"37","41","005","53","035","WA","Kitsap County",24,30,1119,"pdx","puget_sound_area"
"38","41","005","06","067","CA","Sacramento County",23,34,1145,"pdx","pdx"
"39","41","005","41","013","OR","Crook County",22,40,1491,"pdx","pdx"
"40","41","005","41","035","OR","Klamath County",22,35,628,"pdx","pdx"
"41","41","005","41","027","OR","Hood River County",21,50,769,"pdx","pdx"
"42","41","005","41","033","OR","Josephine County",20,36,566,"pdx","pdx"
"43","41","051","41","005","OR","Clackamas County",3581,6462,217560,"pdx","pdx"
"44","41","051","41","067","OR","Washington County",3153,4894,179901,"pdx","pdx"
"45","41","051","53","011","WA","Clark County",1946,4009,100152,"pdx","pdx"
"46","41","051","53","033","WA","King County",532,736,35353,"pdx","puget_sound_area"
"47","41","051","41","047","OR","Marion County",338,580,13323,"pdx","pdx"
"48","41","051","06","037","CA","Los Angeles County",337,462,16728,"pdx","pdx"
"49","41","051","41","039","OR","Lane County",302,412,10689,"pdx","pdx"
"50","41","051","41","017","OR","Deschutes County",254,387,27389,"pdx","pdx"
"51","41","051","41","009","OR","Columbia County",205,380,9861,"pdx","pdx"
"52","41","051","04","013","AZ","Maricopa County",178,269,10028,"pdx","pdx"
"53","41","051","06","073","CA","San Diego County",163,246,9183,"pdx","pdx"
"54","41","051","41","071","OR","Yamhill County",152,263,7700,"pdx","pdx"
"55","41","051","06","075","CA","San Francisco County",142,177,11460,"pdx","bay_area"
"56","41","051","48","453","TX","Travis County",139,220,9188,"pdx","pdx"
"57","41","051","36","047","NY","Kings County",119,154,9972,"pdx","pdx"
"58","41","051","41","003","OR","Benton County",114,145,3126,"pdx","pdx"
"59","41","051","53","053","WA","Pierce County",114,190,4473,"pdx","puget_sound_area"
"60","41","051","06","001","CA","Alameda County",113,141,3700,"pdx","bay_area"
"61","41","051","32","003","NV","Clark County",107,168,10906,"pdx","pdx"
"62","41","051","41","029","OR","Jackson County",107,152,2966,"pdx","pdx"
"63","41","051","06","059","CA","Orange County",102,157,5537,"pdx","pdx"
"64","41","051","41","007","OR","Clatsop County",93,161,7734,"pdx","pdx"
"65","41","051","53","015","WA","Cowlitz County",92,163,3778,"pdx","pdx"
"66","41","051","41","041","OR","Lincoln County",91,130,4588,"pdx","pdx"
"67","41","051","06","085","CA","Santa Clara County",88,133,9528,"pdx","bay_area"
"68","41","051","17","031","IL","Cook County",84,102,3667,"pdx","pdx"
"69","41","051","36","061","NY","New York County",84,94,7109,"pdx","pdx"
"70","41","051","41","043","OR","Linn County",78,112,2421,"pdx","pdx"
"71","41","051","41","053","OR","Polk County",76,126,2607,"pdx","pdx"
"72","41","051","49","035","UT","Salt Lake County",75,123,2874,"pdx","pdx"
"73","41","051","41","057","OR","Tillamook County",74,115,4623,"pdx","pdx"
